Keyword,Position,Word,Frequency,Log-Likelihood,Significance
Significance thresholds:,,,,,
,,,,LL >= 15.13,p < 0.0001
,,,,LL >= 10.83,p < 0.001
,,,,LL >= 6.63,p < 0.01
,,,,LL >= 3.84,p < 0.05
,,,,,
,,,,,
WORD: daulat,,,,,
hatta,Left,sekalian,8,4.29,p < 0.05
hatta,Left,kepada,8,0.08,not significant
hatta,Left,kata,8,0,not significant
hatta,Left,pegawai,8,4.22,p < 0.05
hatta,Left,tujuh,8,13.86,p < 0.001
hatta,Left,paduka,7,4.04,p < 0.05
hatta,Left,baik,7,4.01,p < 0.05
hatta,Left,pulau,7,23.31,p < 0.0001
hatta,Right,maka,269,395,p < 0.0001
hatta,Right,pun,180,274.91,p < 0.0001
hatta,Right,raja,62,77.6,p < 0.0001
hatta,Right,laksamana,58,33.5,p < 0.0001
hatta,Right,berapa,52,322.68,p < 0.0001
hatta,Right,lamanya,49,320.81,p < 0.0001
hatta,Right,sampailah,49,282.74,p < 0.0001
hatta,Right,segala,32,18.23,p < 0.0001
hatta,Right,orang,23,0.59,not significant
hatta,Right,hang,23,13.38,p < 0.001
hatta,Right,setelah,21,0,not significant
hatta,Right,datang,19,14.65,p < 0.001
hatta,Right,lalu,19,7.67,p < 0.01
hatta,Right,melaka,19,19.28,p < 0.0001
hatta,Right,bendahara,18,0,not significant
hatta,Right,masuk,18,38.02,p < 0.0001
hatta,Right,mengadap,17,36.29,p < 0.0001
hatta,Right,belayar,17,78.11,p < 0.0001
hatta,Right,hari,16,34.72,p < 0.0001
